,1,2,3,4,5,6,7,8,9,10,11,12
A,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,DPP4,DPP4,TGFB1,TGFB1
B,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,IGFBP5,DPP4,DPP4,TGFB1,TGFB1
C,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,DPP4,DPP4,TGFB1,TGFB1
D,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,IGFN1,DPP4,DPP4,TGFB1,TGFB1
E,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,DPP4,DPP4,TGFB1,TGFB1
F,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,SFRP2,DPP4,DPP4,TGFB1,TGFB1
G,B2M,B2M,B2M,B2M,B2M,B2M,B2M,B2M,DPP4,DPP4,TGFB1,TGFB1
H,B2M,B2M,B2M,B2M,B2M,B2M,B2M,B2M,DPP4,DPP4,TGFB1,TGFB1
